source,detention_facility_code,name,address_full,address,city,state,latitude,longitude,zip,n_codings
team-geocoding,GARVIOK,Garvin County Jail,"201 West Grant Avenue, Pauls Valley, OK 73075",201 West Grant Avenue,Pauls Valley,OK,34.74063838,-97.22216046,73075,2
hold,JAKHOLD,Jackson MS Hold Room,"202 Metroplex Drive, Pearl, Ms 39208",202 Metroplex Drive,Pearl,MS,32.29032628,-90.05979838,39208,2
team-geocoding,SARASFL,Sarasota County Jail,"2020 Main St, Sarasota, FL 34237",2020 Main St,Sarasota,FL,27.33606348,-82.52949364,34237,2
team-geocoding,LONPDAR,Lonoke Police Department Detention Center,"203 W. Front Street, Lonoke, AR 72086",203 W. Front Street,Lonoke,AR,34.78361001,-91.90152002,72086,2
team-geocoding,LIRSFCO,Lirs - Lfsrm Fort Collins Ltfc County,"2032 Lowe Street, Suite 200, Fort Collins, CO 80525","2032 Lowe Street, Suite 200",Fort Collins,CO,40.53253146,-105.0397792,80525,2
hold,PHOHOLD,Phoenix District Office,"2035 N. Central Avenue, Phoenix, Az 85004",2035 N. Central Avenue,Phoenix,AZ,33.47084002,-112.073136,85004,4
team-geocoding,WOODFKY,Woodford County Sheriff/Jail,"204 Beasley Rd, Versailles, KY 40383",204 Beasley Rd,Versailles,KY,38.04795649,-84.75795972,40383,2
team-geocoding,WARDCND,Ward County Jail,"204 Front St, Minot, ND 58702",204 Front St,Minot,ND,48.23365612,-101.2873442,58702,2
hold,IMPHOLD,Imperial Sub Office Hold Room,"2051 North Waterman Avenue Suite 101, El Centro, Ca 92243",2051 North Waterman Avenue Suite 101,El Centro,CA,32.81319479,-115.572837,92243,2
team-geocoding,LVYHOPA,Lehigh Valley Hospital - Pocono,"206 East Brown Street, East Stroudsburg, PA 18301",206 East Brown Street,East Stroudsburg,PA,40.99252079,-75.17476579,18301,2
hold,ATTHOLD,"Athens, TX Hold Room","206 N Murchison St, Athens, Tx 75751",206 N Murchison St,Athens,TX,32.2076,-95.84575004,75751,2
team-geocoding,FLBAKCI,Baker Correctional Institution,"20706 FL-10, Sanderson, FL 32087",20706 FL-10,Sanderson,FL,30.21764047,-82.36717399,32087,2
hold,IFIHOLD,Idaho Falls Hold Room,"2075 N Boulevard, Idaho Falls, Id 83402",2075 N Boulevard,Idaho Falls,ID,43.51459485,-112.0341288,83402,2
team-geocoding,TOORANM,Torrance County Detention Facility,"209 County Road A049, Estancia, NM 87016",209 County Road A049,Estancia,NM,34.76767999,-106.018446,87016,2
team-geocoding,UNIONSD,Union County Jail,"209 E Main St Suite #250, Elk Point, SD 57025",209 E Main St Suite #250,Elk Point,SD,42.68584986,-96.68255716,57025,2
hold,DVDHOLD,Dover Hold Room,"210 Beiser Boulevard, Dover, De 19904",210 Beiser Boulevard,Dover,DE,39.15520653,-75.54284634,19904,2
