idnInmate	Strcity	Strcode	Strdescription	datCreatedOn	datModifiedOn	blnActive
53	ATL	MCC	MCCORMICK CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1709	ATL	MCD	MACDOUGALL CORRECTIONAL INSTITUTION               	2005-03-05 14:50:58.890		1
1710	ATL	MCH	MCCAIN CORRECTIONAL HOSPITAL                      	2005-03-05 14:50:58.890		1
1711	ATL	MCK	MECKLENBURG CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890		1
1712	ATL	MCN	MACON CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		1
54	ATL	MEN	MEN'S CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
55	ATL	MET	METRO CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1713	ATL	MGC	MGCI WOMENS CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
1714	ATL	MON	MONTGOMERY CORRECTIONAL CENTER                    	2005-03-05 14:50:58.890		1
1715	ATL	MOR	MORRISON YOUTH INSTITUTION                        	2005-03-05 14:50:58.890		1
56	ATL	MUS	MUSCOGEE C.I.	2003-08-10 11:23:16.927		0
57	ATL	NAG	CAMPAMENTO PUNTA LIMA	2003-08-10 11:23:16.927		0
1716	ATL	NAS	NASH CORRECTIONAL INSTITUTE                       	2005-03-05 14:50:58.890		1
1717	ATL	NCC	N.C. DEPARTMENT OF CORRECTIONS                    	2005-03-05 14:50:58.890		1
1718	ATL	NCT	NORTH CAROLINA CORRECTIONAL CENTER                	2005-03-05 14:50:58.890		1
58	ATL	NEU	NEUSE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
59	ATL	NHA	NEW HANOVER CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
60	ATL	NOR	NORTH CAROLINA CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
1719	ATL	NOT	NOTTOWAY CORRECTIONAL CNETER                      	2005-03-05 14:50:58.890		1
1720	ATL	NSV	NASH CORRECTIONAL INSTITUTION                     	2005-03-05 14:50:58.890		1
61	ATL	NTH	NORTHSIDE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1721	ATL	OCC	OCCOQUAN FACILITY                                 	2005-03-05 14:50:58.890		1
62	ATL	OCO	OCONEE COUNTY JAIL	2003-08-10 11:23:16.927		0
63	ATL	ODO	ODOM CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1722	ATL	ORA	ORANGE CORRECTIONAL CENTER                        	2005-03-05 14:50:58.890		1
64	ATL	PEN	PENDER CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1723	ATL	PET	PETERSBURG FEDERAL CORRECTIONAL INSTITUTE         	2005-03-05 14:50:58.890		1
65	ATL	PHI	PHILLIPS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
66	ATL	PIE	PIEDMONT CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
