NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
TUCSON INS HOLD ROOM,TUCSON,AZ,85706,PHO,OTHER,54,122
MISSISSIPPI COUNTY DETENTION CENTE,CHARLESTON,MO,63834,CHI,IGSA,13,58
HOWARD COUNTY DET CNTR,JESSUP,MD,20794,BAL,IGSA,34,44
SUSSEX COUNTY JAIL,SUSSEX,NJ,78600,NYC,IGSA,33,47
BEDFORD HEIGHTS CITY,BEDFORD HTS,OH,44146,DET,IGSA,30,51
WASHINGTON COUNTY JAIL,FAYETTEVILLE,AR,72701,NOL,IGSA,11,31
PHELPS COUNTY JAIL,HOLDREGE,NE,68949,SPM,IGSA,34,49
LINN COUNTY JAIL,CEDAR RAPIDS,IA,52407,SPM,IGSA,29,47
WAYNE COUNTY JAIL,LYONS,NY,14489,BUF,IGSA,9,24
WESTERN TENNESSEE DET. FAC.,MASON,TN,38049,NOL,IGSA,49,103
YORK CORR INST,NIANTIC,CT,63570,BOS,IGSA,33,48
CLINTON COUNTY JAIL,PLATTSBURGH,NY,12901,BUF,IGSA,21,34
OPEN ARMS INTERNATIONAL,MIAMI,FL,33173,MIA,ORR,22,36
SOUTHWEST YOUTH VILLAGE,VINCENNES,IN,47591,CHI,ORR,50,80
SND DISTRICT STAGING,SAN DIEGO,CA,92101,SND,OTHER,25,93
CHIPPEWA CO.,SAULT STE MARIE,MI,49783,DET,IGSA,22,33
CHRISTIAN CO SHERIFF DEPT,OZARK,MO,65721,CHI,IGSA,21,67
PALM BEACH COUNTY JAIL,WEST PALM BEACH,FL,33406,MIA,IGSA,17,37
ERIE COUNTY JAIL,ERIE,PA,18503,PHI,IGSA,5,17
LUTHERAN SOCIAL SEREVICES,EL PASO,TX,79925,ELP,ORR,22,36
SOUTHWEST KEYS JUV. FAC.,EL CAJON,TX,92021,SND,ORR,23,28
COLUMBIA COUNTY JAIL,ST. HELENS,OR,97051,SEA,IGSA,31,54
CAMBRIA COUNTY JAIL,EBENSBURG,PA,15931,PHI,IGSA,18,75
WASHINGTON COUNTY JAIL,HURRICANE,UT,84737,SLC,IGSA,16,56
CHILDREN'S VILLAGE,QUEENS,NY,11356,NYC,ORR,12,28
SACRAMENTO COUNTY JAIL,SACRAMENTO,CA,95814,SFR,IGSA,52,106
HOUSTON FO HOLDROOM,HOUSTON,TX,77032,HOU,OTHER,22,86
MAPLE HEIGHTS CITY JAIL,MAPLE HEIGHTS,OH,44317,DET,IGSA,14,29
CHASE COUNTY JAIL,FALLS,KS,66845,CHI,IGSA,25,51
PARK COUNTY JAIL,FAIRPLAY,CO,80440,DEN,IGSA,14,74
MONTGOMERY COUNTY JAIL,MONTGOMERY CITY,MO,63361,CHI,IGSA,32,69
CARVER COUNTY JAIL,CHASKA,MN,55318,SPM,IGSA,27,51
CASS COUNTY JAIL,PLATTSMOUTH,NE,68048,SPM,IGSA,19,80
DEVEREAUX ARIAONA,SCOTTSDALE,AZ,85254,PHO,ORR,19,32
FRANKLIN COUNTY JAIL,ST ALBANS,VT,54789,BOS,IGSA,17,27
CHARLESTON COUNTY CORRECT,CHARLESTON,SC,29405,ATL,IGSA,34,85
OAKDALE FED. DET. CENTER,OAKDALE,LA,71463,NOL,IGSA,18,37
TWIN FALLS COUNTY JAIL,TWIN FALLS,ID,83303,SLC,IGSA,13,64
BEDFORD CITY JAIL,BEDFORD,TX,76021,DAL,IGSA,11,53
DALLAS F.O. HOLD,DALLAS,TX,76247,DAL,OTHER,10,71
CATHOLIC SOCIAL SERVICES,TACOMA,WA,98405,SEA,ORR,8,19
ST. MARY'S CO DET CNTR,LEONARDTOWN,MD,20650,BAL,IGSA,2,0
MOFFET COUNTY JAIL,CRAIG,CO,81625,DEN,IGSA,6,20
MINNEHAHA COUNTY JAIL,SIOUX FALLS,SD,57104,SPM,IGSA,10,30
EULESS CITY JAIL,EULESS,TX,76039,DAL,IGSA,7,52
SUMMIT COUNTY JAIL,COALVILLE,UT,84017,SLC,IGSA,10,21
ROCKINGHAM CO. JAIL,HARRISONBURG,VA,22801,WAS,IGSA,8,25
YOUTHCARE,SEATTLE,WA,98105,SEA,ORR,7,0
ANCHORAGE JAIL,ANCHORAGE,AK,98501,SEA,IGSA,4,0
VARICK STREET SPC,NEW YORK,NY,10014,NYC,IGSA,18,79
LINCOLN COUNTY SHERIFF'S,TROY,MO,63379,CHI,IGSA,16,41
BARNSTABLE COUNTY,BARNSTABLE,MA,26300,BOS,IGSA,9,33
ERIE CO HOLDING CENTER,BUFFALO,NY,14202,BUF,OTHER,6,20
GARVIN COUNTY JAIL,PAULS VALLEY,OK,73075,DAL,IGSA,18,46
CAYUGA COUNTY JAIL,AUBURN,NY,13021,BUF,IGSA,5,0
EL PASO COUNTY JAIL (CO),SPRINGS,CO,80903,DEN,IGSA,4,20
NORTHERN OREGON CORR.FAC.,THE DALLES,OR,97058,SEA,IGSA,2,18
POTTAWATTAMIE COUNTY JAIL,COUNCIL BLUFFS,IA,51501,SPM,IGSA,21,58
GRAYSON COUNTY JAIL,LEITCHFIELD,KY,42754,CHI,IGSA,18,52
BERKS COUNTY SECURED JUVENILE,LEESPORT,PA,19533,PHI,ORR,10,13
HAILE DET. CENTER,CALDWELL,ID,83605,SLC,IGSA,9,28
TUMBLEWEED SHELTER,PHOENIX,AZ,85021,PHO,ORR,9,0
SALT LAKE COUNTY JAIL,SALT LAKE CITY,UT,84190,SLC,IGSA,5,14
CLARKE FRED'K WINCH.,WINCHESTER,VA,22603,WAS,IGSA,3,16
DEARBORN POLICE DEPT.,DEARBORN,MI,48126,DET,IGSA,1,25
ALBANY COUNTY JAIL,ALBANY,NY,11211,BUF,IGSA,13,40
NASSAU COUNTY JAIL,YULEE,FL,32097,MIA,IGSA,8,0
WILLIAMSON COUNTY JAIL,FRANKLIN,TN,37084,NOL,IGSA,8,28
ONONDAGA COUNTY JAIL,SYRACUSE,NY,13202,BUF,IGSA,7,22
WEST BATON ROUGE DET CTR,PORT ALLEN,LA,70767,NOL,IGSA,5,19
BENTON COUNTY,KENNEWICK,WA,99336,SEA,IGSA,2,16
STRAFFORD CO. CORRECTION,DOVER,NH,31800,BOS,IGSA,2,14
CATTARAUGUS COUNTY JAIL,LITTLE VALLEY,NY,14755,BUF,IGSA,1,0
VENTURA CUSTODY CASE,CAMARRILLO,CA,93010,LOS,OTHER,11,55
SPRINGFIELD FED.MED.CNTR,SPRINGFIELD,MO,65808,CHI,BOP,9,0
CARROLL COUNTY DETENTION CENTER,WESTMINISTER,MD,21157,BAL,IGSA,8,21
WV REGIONAL JAIL & CORR.,CHARLESTON,WV,16305,PHI,IGSA,7,26
BEXAR COUNTY JAIL,SAN ANTONIO,TX,78207,SNA,IGSA,3,0
DENVER COUNTY JAIL,DENVER,CO,80201,DEN,IGSA,3,0
MILLER COUNTY JAIL,TEXARKANA,AR,71854,NOL,IGSA,9,48
PHI DISTRICT OFFICE,PHILADELPHIA,PA,19130,PHI,OTHER,8,80
MADISON COUNTY JAIL,WAMPSVILLE,NY,13163,BUF,IGSA,6,0
ROCKINGHAM COUNTY JAIL,BRENTWOOD,NH,38330,BOS,IGSA,5,16
RICE COUNTY DET CENTER,LYONS,KS,67554,CHI,IGSA,2,28
ADA COUNTY JAIL,BOISE,ID,83704,SLC,IGSA,2,15
SOUTHWEST KEY JUV -SAN JOSE,SAN JOSE,CA,95118,SFR,ORR,13,19
SOLON CITY JAIL,SOLON,OH,44139,DET,IGSA,6,18
LUTHERAN COMMUNTIY SERVICES NW,NORTH SEATTLE,WA,98109,SEA,ORR,4,0
GENESEE COUNTY JAIL,BATAVIA,NY,40210,BUF,IGSA,2,18
SANGAMON COUNTY JAIL,SPRINGFIELD,IL,62701,CHI,IGSA,1,16
TOOELE COUNTY JAIL,TOOELE,UT,84074,SLC,IGSA,0,0
MADISON COUNTY JAIL,REXBURG,ID,83440,SLC,IGSA,4,19
SNYDER COUNTY JAIL,SELINS GROVE,PA,17870,PHI,IGSA,5,26
VT. DEPT. OF CORRECTIONS,WATERBURY,VT,56760,BOS,IGSA,4,0
PUEBLO COUNTY JAIL,PUEBLO,CO,81003,DEN,IGSA,3,0
NYC FIELD OFFICE,NEW YORK,NY,10278,NYC,OTHER,3,0
YELLOWSTONE COUNTY JAIL,BILLINGS,MT,59101,SLC,IGSA,2,0
MARION COUNTY JAIL,INDIANAPOLIS,IN,46204,CHI,IGSA,1,0
HARTFORD CORR CENTER,HARTFORD,CT,61200,BOS,IGSA,33,116
CALCASIEU PARISH PRISON,LAKE CHARLES,LA,70601,NOL,IGSA,33,66
TAMPA BAY ACADEMY,RIVERVIEW,FL,33669,MIA,ORR,5,0
STONE PARK POLICE DEPT.,STONE PARK,IL,60165,CHI,IGSA,4,0
ARAPAHOE COUNTY JAIL,LITTLETON,CO,80120,DEN,IGSA,4,0
GASTON COUNTY JAIL,GASTONIA,NC,28052,ATL,IGSA,1,0
ALEXANDRIA CITY JAIL,ALEXANDRIA,VA,22314,WAS,IGSA,1,0
GUADALUPE COUNTY JUVENILE D.F.,SEGUIN,TX,78155,SNA,IGSA,1,0
TORRANCE/ESTANCIA,ESTANCIA,NM,87016,ELP,IGSA,11,125
ORANGE COUNTY JAIL,ORLANDO,FL,32802,MIA,IGSA,9,37
