NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
NOL D D & P,NEW ORLEANS,LA,70113,SPM,OTHER,0,0
CASS COUNTY JAIL,FARGO,ND,58107,SPM,IGSA,0,0
BROOKINGS CO. SD JAIL,BROOKINGS,SD,57008,SPM,IGSA,0,0
BEADLE CO. SD JAIL,HURON,SD,57350,SPM,IGSA,0,0
MINNEHAHA JUVENILE DET CN,SIOUX FALLS,SD,57106,SPM,IGSA,0,0
RICE COUNTY JAIL,FARIBAULT,MN,55021,SPM,IGSA,0,0
DAVISON COUNTY,MITCHELL,SD,57301,SPM,IGSA,0,0
DEVILS LAKE LAW ENF CENTR,DEVILS LAKE,ND,58301,SPM,IGSA,0,0
CODINGTON CO. JAIL,WATERTOWN,SD,57201,SPM,IGSA,0,0
HUGHES CO. JAIL,PIERRE,SD,57501,SPM,IGSA,0,0
SANDSTONE FED.CORR.INST.,SANDSTONE,MN,55072,SPM,BOP,0,0
FREESTONE COUNTY JAIL,FAIRFIELD,TX,75840,SNA,IGSA,0,0
DOLLY VINSANT,SAN BENITO,TX,78586,SNA,IGSA,0,0
SHOSHONE CO PUBLIC SAFETY FACILITY,WALLACE,ID,83873,SLC,IGSA,0,0
COLUMBIA FALLS POLICE DEPARTMENT,COLUMBIA FALLS,MT,59912,SLC,IGSA,0,0
FREMONT COUNTY JAIL,ST. ANTHONY,ID,83445,SLC,IGSA,0,0
HOSANNA GIRLS RANCH,CASTRO VALLEY,CA,94552,SFR,IGSA,0,0
HOSANNA HOMES FOR BOYS,CASTRO VALLEY,CA,94552,SFR,IGSA,0,0
SAN MATEO CO JAIL,REDWOOD CITY,CA,94063,SFR,IGSA,0,0
SANTA CLARA CO JAIL/MEN'S,MILPITAS,CA,95035,SFR,IGSA,0,0
LUTHERN SOCIAL SERVICES,MOUNTLAKE TERR.,WA,98043,SEA,ORR,0,0
RUTH DYKEMAN CHILD CENTER,SEATTLE,WA,98166,SEA,ORR,0,0
MATSU PRETRIAL,PALMER,AK,99645,SEA,IGSA,0,0
FAIRBANKS CORR CTR,FAIRBANKS,AK,99701,SEA,IGSA,0,0
BOUNDARY COUNTY,BONNERS FERRY,ID,83805,SEA,IGSA,0,0
SITKA CITY JAIL,SITKA,AK,99835,SEA,IGSA,0,0
COOS CO. JAIL,COQUILLE,OR,97423,SEA,IGSA,0,0
STEVENS COUNTY JAIL,COLVILLE,WA,99114,SEA,IGSA,0,0
LA PAZ COUNTY ADULT DET. FAC.,PARKER,AZ,85344,PHO,IGSA,0,0
IMPERIAL COUNTY JAIL,EL CENTRO,CA,92243,PHO,IGSA,0,0
GILA COUNTY JAIL,GLOBE,AZ,86501,PHO,IGSA,0,0
SOUTH CENTRAL REGIONAL JAIL,CHARLESTON,WV,25309,PHI,IGSA,0,0
CENTRE CO JAIL,BELLEFONTE,PA,16823,PHI,IGSA,0,0
HAHNEMANN HOPSITAL,PHILADELPHIA,PA,19107,PHI,IGSA,0,0
BECKLEY FED.CORR.INST.,BEAVER,WV,25813,PHI,BOP,0,0
OTISVILLE FED.CORR.INST.,OTISVILLE,NY,10963,NYC,BOP,0,0
BLOUNT COUNTY JUV DET CENTER,MARYVILLE,TN,37804,NOL,IGSA,0,0
ST MARTIN PARISH CORR CNT,ST.MARTINVILLE,LA,70582,NOL,IGSA,0,0
ESCAMBIA COUNTY DETENTION CENTER,BREWTON,AL,34626,NOL,IGSA,0,0
LAFAYETTE PARISH CORR CNT,LAFAYETTE,LA,70502,NOL,IGSA,0,0
ST MARTIN PARISH MEDICAL,ST MARTINVILLE,LA,70282,NOL,IGSA,0,0
PLAQUEMINES PARISH DET. CENTER,BRAITHWAITHE,LA,70040,NOL,IGSA,0,0
SHELBY CO. SHERIFF OFFICE,MEMPHIS,TN,36103,NOL,IGSA,0,0
CONCORDIA PARISH C O,FERRIDAY,LA,71334,NOL,IGSA,0,0
YAZOO CITY MEDIUM FCI,YAZOO CITY,MS,39194,NOL,BOP,0,0
MORRIS COUNTY JAIL,MORRISTOWN,NJ,79600,NEW,IGSA,0,0
FAIRTON FCI,FAIRTON,NJ,83200,NEW,BOP,0,0
POLK COUNTY JAIL,BARTOW,FL,33830,MIA,IGSA,0,0
CLAY COUNTY JAIL,SPRING,FL,92043,MIA,IGSA,0,0
COLEMAN FCI,COLEMAN,FL,33521,MIA,BOP,0,0
MIAMI FCI (FORMER MCC),MIAMI,FL,33178,MIA,BOP,0,0
CALIPATRIA STATE PRISON,CALIPATRIA,CA,92233,LOS,IGSA,0,0
MONTEREY CO. JAIL,SALINAS,CA,93906,LOS,IGSA,0,0
NEWTON COUNTY CORR. CTR.,NEWTON,TX,75966,HOU,IGSA,0,0
GRIMES COUNTY SHERIFF'S DEPT.,ANDERSON,TX,77830,HOU,IGSA,0,0
BEAUMONT FCC MEDIUM,BEAUMONT,TX,77720,HOU,BOP,0,0
BEAUMONT FCC LOW,BEAUMONT,TX,77720,HOU,BOP,0,0
REEVES COUNTY DET. CENTER,PECOS,TX,78772,ELP,IGSA,0,0
ODESSA DETENTION CENTER,ODESSA,TX,79761,ELP,IGSA,0,0
DONA ANA COUNTY DETENTION FACILITY,LAS CRUCES,NM,88004,ELP,IGSA,0,0
EL PASO COUNTY JAIL (TX),EL PASO,TX,79925,ELP,IGSA,0,0
OTTAWA CO. GRAND HAVEN,HUDSONVILLE,MI,49426,DET,IGSA,0,0
TAYLOR PD,TAYLOR,MI,48180,DET,IGSA,0,0
LAS ANIMAS COUNTY JAIL,TRINIDAD,CO,81082,DEN,IGSA,0,0
LOGAN COUNTY JAIL,STERLING,CO,80751,DEN,IGSA,0,0
OTERO COUNTY JAIL,LAJUNTA,CO,81050,DEN,IGSA,0,0
NIOBRARA COUNTY JAIL,LUSK,WY,82225,DEN,IGSA,0,0
DELTA COUNTY JAIL,DELTA,CO,81416,DEN,IGSA,0,0
HUERFANO COUNTY JAIL,WALSENBERG,CO,81089,DEN,IGSA,0,0
FLORENCE US PEN,FLORENCE,CO,81292,DEN,BOP,0,0
SOUTHWEST KEY PROGRAM (JUV),DALLAS,TX,75207,DAL,ORR,0,0
UPSHUR COUNTY JAIL,GILMER,TX,75644,DAL,IGSA,0,0
CARSWELL FED MED.CTR,FORT WORTH,TX,76127,DAL,BOP,0,0
LOYOLA MEDICAL CENTER,MAYWOOD,IL,60153,CHI,OTHER,0,0
COOK COUNTY HOSPITAL,CHICAGO,IL,60612,CHI,OTHER,0,0
CATHOLIC CHARITIES - FCP,MIAMI SPRINGS,FL,33012,CHI,ORR,0,0
WARREN COUNTY REGIONAL,BOWLING GREEN,KY,42010,CHI,IGSA,0,0
WAUKESHA COUNTY JAIL,WAUKESHA,WI,53188,CHI,IGSA,0,0
LEE COUNTY JAIL,DIXON,IL,61021,CHI,IGSA,0,0
OZAUKEE COUNTY JAIL,WASHINGTON,WI,53074,CHI,IGSA,0,0
SALINE COUNTY JAIL,SALINA,KS,67401,CHI,IGSA,0,0
PULASKI COUNTY DETENTION CENTER,SOMERSET,KY,42503,CHI,IGSA,0,0
RIVERIDGE HOSPITAL,FOREST PARK,IL,60130,CHI,IGSA,0,0
DANE COUNTY JAIL,MADISON,WI,53703,CHI,IGSA,0,0
DEWITT COUNTY JAIL,CLINTON,IL,61727,CHI,IGSA,0,0
JEFFERSON COUNTY JAIL,OSKALOOSA,KS,66066,CHI,IGSA,0,0
JENNINGS CITY JAIL,JENNINGS,MO,63136,CHI,IGSA,0,0
THOMAS COUNTY JAIL,COLBY,KS,67701,CHI,IGSA,0,0
FAYETTE COUNTY DETENTION CENTER,LEXINGTON,KY,40510,CHI,IGSA,0,0
FORD COUNTY JAIL,DODGE CITY,KS,67801,CHI,IGSA,0,0
NIAGARA FALLS CITY JAIL,NIAGARA FALLS,NY,14302,BUF,IGSA,0,0
OTSEGO COUNTY JAIL,COOPERSTOWN,NY,13326,BUF,IGSA,0,0
ORLEANS CORRECTIONAL,ALBION,NY,14411,BUF,IGSA,0,0
ANDROSCOGGIN COUNTY JAIL,AUBURN,ME,42100,BOS,IGSA,0,0
FRANKLIN HOUSE OF CORRECTIONS,GREENFIELD,MA,13010,BOS,IGSA,0,0
BWATER ST HOSP BRIDGEWATE,BRIDGEWATER,MA,23240,BOS,IGSA,0,0
NORTHERN MAINE JUVENILE DETENTION,CHARLESTON,ME,44220,BOS,IGSA,0,0
LINCOLN COUNTY JAIL,WISCASSET,ME,45780,BOS,IGSA,0,0
SOMERSET COUNTY JAIL,SKOWHEGAN,ME,49760,BOS,IGSA,0,0
OXFORD COUNTY JAIL,SOUTH PARIS,ME,42810,BOS,IGSA,0,0
PISCATAQUIS COUNTY JAIL,DOVER-FOXCROFT,ME,44260,BOS,IGSA,0,0
CLINTON C.F. DANNEMMORA,DANNEMORA,NY,12929,BOS,IGSA,0,0
WALDO COUNTY JAIL,BELFAST,ME,49150,BOS,IGSA,0,0
CATHOLIC HOME,MIAMI,FL,33157,ATL,ORR,0,0
BULLOCK COUNTY JAIL,STATESBORO,GA,30458,ATL,IGSA,0,0
MCINTOSH COUNTY JAIL,DARIEN,GA,31305,ATL,IGSA,0,0
US MARSHALS MIDDLE DISTRICT,GREENSBORO,NC,27401,ATL,IGSA,0,0
FORT DIX FED.CORR.INST.,FORT DIX,NJ,85400,ATL,BOP,0,0
JESUP FED.CORR.INST.,JESUP,GA,31545,ATL,BOP,0,0
EL RENO FED.CORR.INST.,EL RENO,OK,73036,ATL,BOP,0,0
WARREN COUNTY JUSTICE CTR,WARRENTON,MO,63383,CHI,IGSA,0,0
WOMEN'S DETENTION CENTER,MIAMI,FL,33127,MIA,IGSA,0,0
WHITMAN COUNTY JAIL,COLFAX,WA,99111,SEA,IGSA,0,0
BELLEVILLE PD,BELLEVILLE,MI,48111,DET,IGSA,0,0
WASHINGTON CO. JAIL,WASHINGTON,PA,15301,PHI,IGSA,0,0
CSP-SOLANO,VACAVILLE,CA,95696,SFR,IGSA,0,0
WOODBURY CO JUV DET CNTR.,SIOUX CITY,IA,51101,SPM,IGSA,0,0
CARTER COUNTY,ARDMORE,OK,73401,DAL,IGSA,0,0
WARD COUNTY JAIL,MINOT,ND,58702,SPM,IGSA,0,0
CAMERON COUNTY JAIL,BROWNSVILLE,TX,78520,SNA,IGSA,0,0
BENTON CO JAIL,VINTON,IA,52349,SPM,IGSA,0,0
CAMDEN COUNTY JAIL,CAMDEN,NJ,81010,NEW,IGSA,0,0
YAMHILL COUNTY CORRECTION,MCMINNVILLE,OR,97128,SEA,IGSA,0,0
BEAUREGARD PARISH JAIL,DE RIDDER,LA,70634,NOL,IGSA,0,0
WAUKEGAN CITY JAIL,WAUKEGAN,IL,60085,CHI,IGSA,0,0
BELLMONT PINES HOSPITAL,YOUNGSTOWN,OH,44505,DET,IGSA,0,0
ATCHINSON COUNTY JAIL,ATCHINSON,KS,66002,CHI,IGSA,0,0
BROWNSTOWN POLICE DEPT.,BROWNSTOWN,MI,48183,DET,IGSA,0,0
BROOKFIELD POLICE DEPT.,BROOKFIELD,IL,60513,CHI,IGSA,0,0
AUDRAIN COUNTY JAIL,MEXICO,MO,65265,CHI,IGSA,0,0
THE BRIDGE (YOUTH ALTERN.),SAN ANTONIO,TX,78213,SNA,IGSA,0,0
AVOYELLES WOMEN CORR CN,MARKSVILLE,LA,71351,NOL,IGSA,0,0
BAKER COUNTY SHERIFF DEPT.,MACCLENNY,FL,32063,MIA,IGSA,0,0
BRAZORIA COUNTY DET. CTR,ANGELTON,TX,77515,HOU,IGSA,0,0
YANKTON CO. JAIL SD,YANKTON,SD,57078,SPM,IGSA,0,0
BURLEIGH CO. JAIL,BISMARCK,ND,58502,SPM,IGSA,0,0
WILDWOOD STATE CORR. CTR.,KENAI,AK,99611,SEA,IGSA,0,0
ARK. D.O.C.-TEXARKANA UNIT,TEXARKANA,AR,75502,CHI,IGSA,0,0
YUMA COUNTY JAIL - ADULTS,YUMA,AZ,85364,PHO,IGSA,0,0
ANGELINA COUNTY JAIL,LUFKIN,TX,75901,HOU,IGSA,0,0
WALSH COUNTY JAIL,GRAFTON,ND,58237,SPM,IGSA,0,0
YUMA COUNTY JUVENILE CENT,YUMA,AZ,85364,PHO,IGSA,0,0
BOX ELDER CO. JAIL,BRIGHAM,UT,84302,SFR,IGSA,0,0
BRULE COUNTY JAIL,CHAMBERLAIN,SD,57325,SPM,IGSA,0,0
MCSO MADISON FACILITY,PHOENIX,AZ,85003,PHO,IGSA,0,0
KING COUNTY ADULT JAIL,SEATTLE,WA,98104,SEA,IGSA,0,0
MADISON CO. JAIL,CANTON,MS,39046,NOL,IGSA,0,0
MANATEE COUNTY DETENTION-ANNEX,PALMETTO,FL,34221,MIA,IGSA,0,0
MARSHFIELD E. CENTER,MANSFIELD,TX,76063,CHI,IGSA,0,0
MARION CO JAIL,SALEM,OR,97301,SEA,IGSA,0,0
MARTIN COUNTY JAIL,STUART,FL,34994,MIA,IGSA,0,0
MARTIN HALL JUVENILE,MEDICAL LAKE,WA,99022,SEA,IGSA,0,0
ST. LOUIS JUVENILE CTR,ST. LOUIS,MO,63106,CHI,IGSA,0,0
MULTI CO. JUV.CENTER,CANTON,OH,44706,DET,IGSA,0,0
MCSO SPECIAL USE FACILITY,PHOENIX,AZ,85003,PHO,IGSA,0,0
MERCED COUNTY JAIL,MERCED,CA,95344,SFR,IGSA,0,0
MERCER CO. JAIL,MERCER,PA,16137,PHI,IGSA,0,0
MERRIMACK COUNTY JAIL,BOSCAWAN,NH,33010,BOS,IGSA,0,0
SIMPSON COUNTY JAIL,MENDENHALL,MS,39114,NOL,IGSA,0,0
MINN.C.F. RUSH CITY,RUSH CITY,MN,55069,SPM,IGSA,0,0
MINN.C.F. OAK PARK HGTS,STILLWATER,MN,55082,SPM,IGSA,0,0
LINCOLN COUNTY JAIL,NORTH PLATTE,NE,69101,SPM,IGSA,0,0
KITTITAS COUNTY JAIL,ELLENSBURG,WA,98926,SEA,IGSA,0,0
STARK COUNTY JAIL,CANTON,OH,44711,DET,IGSA,0,0
STANTON COUNTY JAIL,JOHNSON,KS,67855,CHI,IGSA,0,0
LAPEER CO.,LAPEER,MI,48446,DET,IGSA,0,0
LAUREL COUNTY SHERIFF'S JAIL,LONDON,KY,40714,CHI,IGSA,0,0
SPOKANE COUNTY,SPOKANE,WA,99260,SEA,IGSA,0,0
MADISON PARISH DET CENTER,TALLULAH,LA,71282,NOL,IGSA,0,0
SAC & FOX NATION JUV DET,STROUD,OK,74079,DAL,IGSA,0,0
LINN CO JAIL,ALBANY,OR,97321,SEA,IGSA,0,0
LUTHERAN IMM & REF SERVICES,BALTIMORE,MD,21230,SNA,IGSA,0,0
LONOKE COUNTY DET. CENTER,LONOKE,AR,72086,NOL,IGSA,0,0
ST. MARTIN PARISH PRISON,BREAUX BRIDGE,LA,70517,NOL,IGSA,0,0
LAS VEGAS CITY JAIL,LAS VEGAS,NV,89101,LOS,IGSA,0,0
LYON COUNTY JAIL,MARSHALL,MN,56258,SPM,IGSA,0,0
PEND ORIELLE CORRECTIONAL FACILITY,NEWPORT,WA,99156,SEA,IGSA,0,0
RUTHERFORD COUNTY JUV DET CENTER,MURFREESBORO,TN,37130,NOL,IGSA,0,0
RUNNELS COUNTY JAIL,BALLINGER,TX,76821,SNA,IGSA,0,0
ROUNDHOUSE PHI,PHILADELPHIA,PA,19106,PHI,IGSA,0,0
POLK COUNTY JAIL,CROOKSTON,MN,56716,SPM,IGSA,0,0
POWER COUNTY JAIL,AMERICAN FALLS,ID,83211,DEN,IGSA,0,0
PT COUPEE PAR DETN CNTS,NEW ROADS,LA,70760,NOL,IGSA,0,0
INS/WACKENHUT CON/FAC,JAMAICA,NY,11413,NYC,IGSA,0,0
RIKERS ISLAND QUEENS,ELMHURST,NY,11370,NEW,IGSA,0,0
RACINE COUNTY JAIL,RACINE,WI,53403,CHI,IGSA,0,0
RAMSEY COUNTY JAIL,ST. PAUL,MN,55102,SPM,IGSA,0,0
ROBERTS CO. JAIL,SISSETON,SD,57262,SPM,IGSA,0,0
STARR COUNTY JAIL,RIO GRANDE CITY,TX,78582,SNA,IGSA,0,0
SEATTLE CONTRACT DET.FAC.,SEATTLE,WA,98134,SEA,IGSA,0,0
HASTINGS DETENTION CENTER,HASTINGS,NE,68901,SPM,IGSA,0,0
NORTH CHICAGO P.D.,NORTH CHICAGO,IL,60064,CHI,IGSA,0,0
SANTA CLARA COUNTY JAIL,SAN JOSE,CA,95110,SFR,IGSA,0,0
SANTA CRUZ CO MAIN JAIL,SANTA CRUZ,CA,95060,SFR,IGSA,0,0
SANDY PINES HOSPITAL,TEQUESTA,FL,33469,MIA,IGSA,0,0
SCOTTS BLUFF CO JAIL,GERING,NE,69341,SPM,IGSA,0,0
OAKLAND CITY JAIL,OAKLAND,CA,94607,SFR,IGSA,0,0
SCHOHARIE COUNTY JAIL,SCHOHARIE,NY,12157,BUF,IGSA,0,0
ONEIDA COUNTY JAIL,MALAD,ID,83252,DEN,IGSA,0,0
ORLEANS PARISH JUVENILE FAC,NEW ORLEANS,LA,70119,NOL,IGSA,0,0
SARASOTA COUNTY JAIL,SARASOTA,FL,34237,MIA,IGSA,0,0
NORTH COUNTY JAIL,OAKLAND,CA,94607,SFR,IGSA,0,0
DALLAS COUNTY SHERIFF'S OFFICE,ADEL,IA,50003,DAL,IGSA,0,0
KINGMAN COUNTY JAIL,KINGMAN,KS,67068,CHI,IGSA,0,0
COCHISE COUNTY CHILD CENT,HUACHUCA CITY,AZ,85616,PHO,IGSA,0,0
COOKE COUNTY JAIL,GAINSVILLE,TX,76240,DAL,IGSA,0,0
CRAWFORD CO,GRAYLING,MI,49738,DET,IGSA,0,0
UNION COUNTY JAIL,ELK POINT,SD,57025,SPM,IGSA,0,0
BRIDGEPORT CORR CENTER,BRIDGEPORT,CT,66040,BOS,IGSA,0,0
NORTHERN CORR INST,SOMERS,CT,60710,BOS,IGSA,0,0
US MARSHAL S,BALTIMORE,MD,21201,BAL,IGSA,0,0
THOMAS HAVINS SA (TH#82),BROWNWOOD,TX,76801,SNA,IGSA,0,0
CLINTON COUNTY JAIL,FRANKFORT,IN,46041,PHI,IGSA,0,0
DAPHNE POLICE DEPT CORR CENTER,DAPHNE,AL,36526,NOL,IGSA,0,0
DAWSON COUNTY JAIL,LEXINGTON,NE,68850,SPM,IGSA,0,0
DENTON COUNTY JAIL,DENTON,TX,76205,DAL,IGSA,0,0
TUSCARAWAS COUNTY JAIL,NPHILADELPHIA,OH,44663,DET,IGSA,0,0
DESCHUTES CO JAIL,BEND,OR,97701,SEA,IGSA,0,0
TRENTON CITY JAIL,TRENTON,MI,48183,DET,IGSA,0,0
ULSTER CO JAIL KINGSTON,KINGSTON,NY,12401,BUF,IGSA,0,0
CTF-SOLEDAD,SOLEDAD,CA,93960,SFR,IGSA,0,0
WASHINGTON CO. JUVENILE C,STILLWATER,MN,55082,SPM,IGSA,0,0
NORTHWEST STATE CORRECTIONAL CTR.,ST ALBANS,VT,54480,BUF,IGSA,0,0
CHITTENDEN REG. COR. FACILITY,BURLINGTON,VT,54030,BUF,IGSA,0,0
CORR. CORP. OF AMERICA,LEAVENWORTH,KS,66045,CHI,IGSA,0,0
VAN BUREN TOWNSHIP PD,BELLEVILLE,MI,48111,DET,IGSA,0,0
CC FAMILY & YOUTH SERVICE,LAS VEGAS,NV,88101,LOS,IGSA,0,0
VENTURA COUNTY JAIL,VENTURA,CA,93009,LOS,IGSA,0,0
VAN BUREN COUNTY JAIL,KALAMAZOO,MI,49079,DET,IGSA,0,0
CHEROKEE COUNTY JAIL,CENTRE,AL,35960,ATL,IGSA,0,0
US MARSHALS SDTX,MCALLEN,TX,78501,SNA,IGSA,0,0
CHOUTEAU COUNTY JAIL,FORT BENTON,MT,59442,DEN,IGSA,0,0
CLAY COUNTY JAIL,LIBERTY,MO,64068,CHI,IGSA,0,0
CLAY COUNTY JAIL,VERMILLION,SD,57069,SPM,IGSA,0,0
CLARKE COUNTY JAIL,VANCOUVER,WA,98666,SEA,IGSA,0,0
CLAY CO. MINNESOTA,MOORHEAD,MN,56560,SPM,IGSA,0,0
GRAYSON COUNTY DET. CENTER,LITCHFIELD,KY,84737,CHI,IGSA,0,0
HANCOCK COUNTY JAIL,BAY ST. LOUIS,MS,39520,NOL,IGSA,0,0
SULPHUR CITY,SULPHUR,LA,70663,NOL,IGSA,0,0
HALL COUNTY SHERIFF,GRAND ISLAND,NE,68801,SPM,IGSA,0,0
STUTSMAN CO. JAIL,JAMESTOWN,ND,58401,SPM,IGSA,0,0
HERKIMER COUNTY JAIL,HERKIMER,NY,13350,BUF,IGSA,0,0
HILLSBOROUGH COUNTY JAIL,MANCHESTER,NH,31030,BOS,IGSA,0,0
STONE COUNTY JAIL,GALENA,MO,65656,CHI,IGSA,0,0
IBERIA PARISH JAIL,NEW IBERIA,LA,70560,NOL,IGSA,0,0
GLENN COUNTY JAIL,WILLOWS,CA,95988,SFR,IGSA,0,0
ISABELLA COUNTY JAIL,MOUNT PLEASANT,MI,48858,DET,IGSA,0,0
ST. FRANCOIS COUNTY JAIL,FARMINGTON,MO,63640,CHI,IGSA,0,0
JEFFERSON COUNTY JAIL,WAURIKA,OK,73573,DAL,IGSA,0,0
SAN DIEGO COUNTY JUV.HALL,SAN DIEGO,CA,92123,SND,IGSA,0,0
JUAB COUNTY JAIL,NEPHI,UT,84648,SFR,IGSA,0,0
KENNESAW CITY JAIL,KENNESAW,GA,30144,ATL,IGSA,0,0
ST X ANNA'S HOPE,ST CROIX,VI,82300,ATL,IGSA,0,0
ZAPATA COUNTY JAIL,ZAPATA,TX,78076,SNA,IGSA,0,0
CATAHOULA CORRECTIONAL CENTER,HARRISONBURG,LA,71430,NOL,IGSA,0,0
EDEN DET CENTER,EDEN,TX,76837,SNA,IGSA,0,0
EASTLAKE JUVENILE HALL,LOS ANGELES,CA,90033,LOS,IGSA,0,0
TILLAMOOK COUNTY JAIL,TILLAMOOK,OR,97141,SEA,IGSA,0,0
TURNER GUIFORD KNIGHT (TGK) JAIL,MIAMI,FL,33166,MIA,IGSA,0,0
FAULKNER COUNTY JAIL,CONWAY,AR,72034,NOL,IGSA,0,0
FORKS CITY JAIL,FORKS,WA,98331,SEA,IGSA,0,0
FRANKLIN CO. REGION JAIL,FRANKFORT,KY,40356,CHI,IGSA,0,0
FREMONT COUNTY JAIL,LANDER,WY,82520,DEN,IGSA,0,0
TARRANT COUNTY JAIL,FT. WORTH,TX,76196,DAL,IGSA,0,0
TANGIPAHOA PARISH JAIL,AMITE,LA,70422,NOL,IGSA,0,0
FT LAUDERDALE CITY JAIL,FT.LAUDERDALE,FL,33312,MIA,IGSA,0,0
GA BAPTIST CHILDREN HOME,MEANSVILLE,GA,30258,ATL,IGSA,0,0
SOUTHWEST KEY (JUVENILE),DOVER,DE,19904,BAL,IGSA,0,0
TEHAMA COUNTY JAIL,RED BLUFF,CA,96080,SFR,IGSA,0,0
FOREST CITY FED.CORR.INST,FOREST CITY,AR,72338,NOL,BOP,0,0
FORT WORTH FED.MED.CENTER,FT. WORTH,TX,76619,DAL,BOP,0,0
GREENVILLE FCI,GREENVILLE,IL,62246,CHI,BOP,0,0
TUCSON FED.CORR.INST.,TUCSON,AZ,85706,PHO,BOP,0,0
TALLADEGA FCI,TALLADEGA,AL,35160,ATL,BOP,0,0
TEXARKANA FED.CORR.INST.,TEXARKANA,TX,75505,DAL,BOP,0,0
LEWISBURG U.S. PEN.,LEWISBURG,PA,17837,PHI,BOP,0,0
ELKTON FED.CORR.INST.,ELKTON,OH,44415,DET,BOP,0,0
MCRAE CORRECTIONAL FACILITY CCA,MCRAE,GA,31055,ATL,BOP,0,0
ESTILL FED.CORR.INST.,ESTILL,SC,29918,ATL,BOP,0,0
SEAGOVILLE FED.CORR.INST.,SEAGOVILLE,TX,75159,DAL,BOP,0,0
PETERSBURG FED.CORR.INST.,PETERSBURG,VA,23804,WAS,BOP,0,0
EDGEFIELD FED.CORR.INST.,EDGEFIELD,SC,29824,ATL,BOP,0,0
SAFFORD FED.CORR.INST.,SAFFORD,AZ,85548,PHO,BOP,0,0
FLORENCE ADMAX US PEN.,FLORENCE,CO,81226,DEN,BOP,0,0
SCHUYLKILL FED.CORR.INST.,MINERSVILLE,PA,17954,PHI,BOP,0,0
SAN DIEGO MCC,SAN DIEGO,CA,92101,WAS,BOP,0,0
PHOENIX FED.CORR.INST.,PHOENIX,AZ,85027,PHO,BOP,0,0
MIAMI FED DET.CENTER,MIAMI,FL,33132,MIA,BOP,0,0
OXFORD FED.CORR.INST.,OXFORD,WI,53952,CHI,BOP,0,0
ATLANTA U.S. PEN.,ATLANTA,GA,30315,ATL,BOP,0,0
U.S.P. ATWATER,ATWATER,CA,95301,SFR,BOP,0,0
MARIANNA FED.CORR.INST.,MARIANNA,FL,32446,MIA,BOP,0,0
ASHLAND DEF.CORR.INST.,ASHLAND,KY,41105,CHI,BOP,0,0
CHICAGO MCC,CHICAGO,IL,60605,SPM,BOP,0,0
PEKIN FED.CORR.INST.,PEKIN,IL,61554,CHI,BOP,0,0
MILAN FED.CORR.INST.,MILAN,MI,48160,DET,BOP,0,0
LEXINGTON FED.MED CENTER,LEXINGTON,KY,40511,NOL,BOP,0,0
YAZOO CITY FCI,YAZOO CITY,MS,39194,NOL,BOP,0,0
OKLAHOMA FED.TRANSFER CTR,OKLAHOMA CITY,OK,73109,DAL,BOP,0,0
LOMPOC FCI,LOMPOC,CA,93436,LOS,BOP,0,0
LOMPOC USP,LOMPOC,CA,93436,LOS,BOP,0,0
MANCHESTER FED CORR INSTR,MANCHESTER,KY,40962,CHI,BOP,0,0
MCKEAN FED.CORR.INST.,BRADFORD,PA,16701,PHI,BOP,0,0
WASECA FED.CORR.INST.,WASECA,MN,56093,SPM,BOP,0,0
LORETTO FED.CORR.INST.,LORETTO,PA,15940,PHI,BOP,0,0
AGANA INS,HAGATNA,GU,96910,SFR,HOLD,0,0
RIVERSIDE CUSTODY CASE,RIVERSIDE,CA,92705,LOS,HOLD,0,0
BEAUMONT FED.CORR.CTR,BEAUMONT,TX,77720,HOU,BOP,0,0
